Edgware,
"Burnt Oak",
Colindale,
"Hendon Central",
"Brent Cross",
"Golders Green",
Hampstead,
"Belsize Park",
"Chalk Farm",
"Camden Town",
"Euston Underground Station",
"King's Cross St Pancras",
Angel,
"Old Street",
Moorgate,
Bank,
"London Bridge",
Borough,
"Elephant & Castle",
Kennington,
Oval,
Stockwell,
"Clapham North",
"Clapham Common",
"Clapham South",
Balham,
"Tooting Bec",
"Tooting Broadway",
"Colliers Wood",
"South Wimbledon (Merton)",
Morden,
